Sample in Buffer,Sample in Window,TRIGGER,ad_in_IBUF[7:0],FRE1_index[15:0]
1273,1273,0,124,100
1274,1274,0,124,100
1275,1275,0,124,100
1276,1276,0,124,100
1277,1277,0,124,100
1278,1278,0,124,100
1279,1279,0,124,100
1280,1280,0,124,100
1281,1281,0,124,100
1282,1282,0,124,100
1283,1283,0,124,100
1284,1284,0,124,100
1285,1285,0,124,100
1286,1286,0,124,100
1287,1287,0,124,100
1288,1288,0,124,100
1289,1289,0,124,100
1290,1290,0,124,100
1291,1291,0,124,100
1292,1292,0,124,100
1293,1293,0,124,100
1294,1294,0,124,100
1295,1295,0,124,100
1296,1296,0,124,100
1297,1297,0,124,100
1298,1298,0,124,100
1299,1299,0,124,100
1300,1300,0,124,100
1301,1301,0,124,100
1302,1302,0,124,100
1303,1303,0,124,100
1304,1304,0,124,100
1305,1305,0,124,100
1306,1306,0,124,100
1307,1307,0,124,100
